Alunos(numero=1.0, nome=Alexandre Martins, turma=Java)
Alunos(numero=2.0, nome=Vitor Hugo Lima, turma=Java)
Alunos(numero=3.0, nome=Esther Rodrigues, turma=Java)
Alunos(numero=4.0, nome=Lavinia Cunha, turma=Java)
Alunos(numero=5.0, nome=Natalia Gomes, turma=Java)
Alunos(numero=6.0, nome=Yago Ramos, turma=Java)
Alunos(numero=7.0, nome=Leticia Cunha, turma=Java)
Alunos(numero=8.0, nome=Srta. Ana Julia Ramos, turma=Java)
Alunos(numero=9.0, nome=Pietra Martins, turma=Java)
Alunos(numero=10.0, nome=Thomas Peixoto, turma=Java)
Alunos(numero=11.0, nome=Thales Farias, turma=Java)
