Alunos(nome=Dra. Lavinia Lopes, turma=Banco de Dados)
Alunos(nome=Esther Rodrigues, turma=Banco de Dados)
Alunos(nome=Lavinia Cunha, turma=Banco de Dados)
Alunos(nome=Leticia Cunha, turma=Banco de Dados)
Alunos(nome=Luiz Miguel Azevedo, turma=Banco de Dados)
Alunos(nome=Natalia Gomes, turma=Banco de Dados)
Alunos(nome=Nathan Nascimento, turma=Banco de Dados)
Alunos(nome=Srta. Ana Julia Ramos, turma=Banco de Dados)
Alunos(nome=Thales Farias, turma=Banco de Dados)
Alunos(nome=Vitor Hugo Lima, turma=Banco de Dados)
Alunos(nome=Yago Ramos, turma=Banco de Dados)
